Date,Open,High,Low,Close,Adj Close,Volume
2018-05-31,83.940002,84.309998,82.510002,82.540001,79.645409,11468700
2018-06-01,83.040001,83.419998,82.849998,82.989998,80.079628,5237900
2018-06-04,83.500000,85.519997,83.300003,85.419998,82.424400,10922000
2018-06-05,85.449997,85.470001,84.250000,84.620003,81.652473,8281400
2018-06-06,84.949997,85.150002,84.349998,84.559998,81.594574,7362800
2018-06-07,84.779999,85.760002,84.690002,84.949997,81.970894,7705700
2018-06-08,84.779999,85.190002,84.139999,84.360001,81.401588,7602400
2018-06-11,84.410004,84.540001,83.790001,84.300003,81.343689,6252300
2018-06-12,84.320000,84.589996,83.470001,84.099998,81.150703,8061700
2018-06-13,83.889999,84.370003,83.849998,84.089996,81.141052,6358400
2018-06-14,84.220001,84.809998,83.669998,83.790001,80.851578,7517400
2018-06-15,83.500000,83.989998,83.059998,83.699997,80.764725,12503000
2018-06-18,83.050003,83.570000,82.820000,83.000000,80.089272,8502300
2018-06-19,82.599998,83.620003,82.370003,83.610001,80.677887,9352500
2018-06-20,83.709999,83.820000,83.160004,83.610001,80.677887,7966600
2018-06-21,83.400002,84.550003,82.900002,84.209999,81.256836,8092000
2018-06-22,84.459999,84.849998,84.099998,84.820000,81.845459,10813000
2018-06-25,84.589996,86.599998,84.480003,86.470001,83.437592,15939500
2018-06-26,86.529999,87.050003,85.760002,85.980003,82.964775,10126200
2018-06-27,85.900002,87.489998,85.550003,86.889999,83.842857,10299700
2018-06-28,86.849998,87.290001,85.690002,85.860001,82.848976,8467000
2018-06-29,85.900002,86.199997,85.519997,85.650002,82.646347,8255600
2018-07-02,85.650002,85.940002,83.400002,84.000000,81.054207,8125100
2018-07-03,84.089996,85.050003,84.089996,84.440002,81.478775,4396200
2018-07-05,84.940002,85.580002,84.269997,84.570000,81.604210,5367500
2018-07-06,84.199997,84.870003,83.820000,84.510002,81.546333,5613700
2018-07-09,85.000000,86.470001,84.769997,85.930000,82.916519,6575400
2018-07-10,85.930000,87.330002,85.879997,87.209999,84.151634,6048400
2018-07-11,87.059998,87.150002,86.389999,86.529999,83.495491,5595900
2018-07-12,86.940002,87.410004,86.220001,86.519997,83.485832,4888600
2018-07-13,86.519997,87.989998,86.500000,87.699997,84.624451,6388600
2018-07-16,87.620003,87.720001,86.830002,87.639999,84.566551,4447200
2018-07-17,87.400002,88.699997,87.400002,88.190002,85.097260,5911500
2018-07-18,88.330002,89.190002,87.940002,88.070000,84.981483,5045500
2018-07-19,87.860001,88.480003,87.410004,87.720001,84.643745,4883100
2018-07-20,87.400002,88.169998,87.199997,88.059998,84.971825,4815100
2018-07-23,87.650002,88.150002,87.379997,87.629997,84.556900,4150000
2018-07-24,88.120003,88.500000,87.610001,87.959999,84.875328,5589500
2018-07-25,87.269997,88.019997,87.110001,87.900002,84.817444,5809100
2018-07-26,88.500000,89.430000,88.180000,88.230003,85.135864,6548300
2018-07-27,88.639999,88.879997,88.029999,88.129997,85.039368,4679400
2018-07-30,88.000000,88.940002,87.889999,88.879997,85.763069,6010700
2018-07-31,89.000000,89.660004,88.800003,89.230003,86.100807,6708100
2018-08-01,88.860001,89.129997,87.879997,88.239998,85.145508,5050000
2018-08-02,87.940002,88.839996,87.620003,88.760002,85.647285,4306100
2018-08-03,89.190002,90.279999,89.000000,89.599998,86.457817,5747200
2018-08-06,89.309998,89.980003,89.129997,89.669998,86.525360,4651600
2018-08-07,89.830002,90.360001,89.650002,89.769997,86.621864,4526700
2018-08-08,89.970001,90.230003,89.370003,90.050003,86.892044,5041100
2018-08-09,89.459999,89.629997,88.760002,89.010002,86.387367,4727900
2018-08-10,88.699997,90.370003,88.650002,90.180000,87.522888,8244900
2018-08-13,90.199997,90.540001,89.370003,89.639999,86.998795,5879200
2018-08-14,89.639999,91.120003,89.629997,90.849998,88.173134,5836800
2018-08-15,90.250000,90.410004,89.669998,90.220001,87.561707,8616900
2018-08-16,100.110001,100.209999,97.910004,98.639999,95.733620,42631300
2018-08-17,97.769997,99.669998,97.610001,97.849998,94.966888,16463300
2018-08-20,97.669998,98.290001,95.949997,96.000000,93.171394,12679300
2018-08-21,95.959999,96.360001,95.360001,96.080002,93.249046,10531300
2018-08-22,96.199997,96.849998,95.230003,95.669998,92.851128,7765700
2018-08-23,95.500000,95.860001,95.059998,95.180000,92.375557,6096400
2018-08-24,95.089996,95.660004,94.349998,94.949997,92.152336,8594300
2018-08-27,95.260002,95.610001,94.290001,94.540001,91.754417,7040300
2018-08-28,94.769997,96.349998,94.529999,96.070000,93.239334,9983000
2018-08-29,96.279999,96.830002,95.529999,95.639999,92.822006,7862800
2018-08-30,95.500000,96.500000,95.449997,96.099998,93.268456,7058700
2018-08-31,96.190002,96.440002,95.110001,95.860001,93.035530,6324700
2018-09-04,95.800003,96.269997,95.239998,95.360001,92.550255,8280700
2018-09-05,95.669998,96.830002,95.360001,96.620003,93.773140,9474600
2018-09-06,96.529999,96.720001,96.010002,96.449997,93.608139,6150800
2018-09-07,95.800003,96.480003,95.639999,95.830002,93.006409,6672400
2018-09-10,96.110001,97.190002,96.089996,96.900002,94.044884,8332600
2018-09-11,97.269997,97.660004,96.489998,96.639999,93.792549,6463500
2018-09-12,96.260002,96.739998,95.930000,95.970001,93.142296,5900000
2018-09-13,95.320000,95.620003,94.910004,95.120003,92.317322,7652900
2018-09-14,94.529999,94.839996,94.349998,94.589996,91.802948,6319400
2018-09-17,94.750000,95.480003,94.370003,94.820000,92.026176,5329800
2018-09-18,94.459999,95.589996,94.150002,95.430000,92.618195,6759800
2018-09-19,95.570000,95.889999,94.879997,95.239998,92.433792,5675100
2018-09-20,95.349998,95.790001,94.949997,95.750000,92.928780,5552300
2018-09-21,95.919998,96.290001,95.629997,95.900002,93.074348,9530100
2018-09-24,95.440002,96.000000,94.860001,94.919998,92.123215,5337000
2018-09-25,95.989998,96.519997,94.989998,95.099998,92.297920,6193200
2018-09-26,95.099998,95.589996,94.519997,94.589996,91.802948,5918600
2018-09-27,94.190002,94.959999,93.820000,94.129997,91.356499,5363400
2018-09-28,94.279999,94.370003,93.690002,93.910004,91.142998,6306300
2018-10-01,94.290001,94.660004,94.040001,94.400002,91.618546,4994300
2018-10-02,93.930000,95.610001,93.849998,95.150002,92.346443,7754600
2018-10-03,95.500000,95.540001,94.040001,94.070000,91.298271,6327400
2018-10-04,94.070000,94.500000,93.199997,94.209999,91.434135,6045300
2018-10-05,93.860001,94.190002,92.889999,93.309998,90.560661,6693400
2018-10-08,93.250000,94.930000,93.019997,94.690002,91.900002,5762600
2018-10-09,95.639999,97.739998,95.190002,97.080002,94.219582,11598900
2018-10-10,96.599998,97.849998,95.699997,95.760002,92.938484,9002800
2018-10-11,95.809998,96.290001,93.599998,93.919998,91.152695,9926500
2018-10-12,94.760002,95.169998,93.669998,94.809998,92.016472,8553900
2018-10-15,94.500000,94.989998,93.820000,93.820000,91.055634,8305500
2018-10-16,94.699997,96.070000,94.339996,95.809998,92.986992,11241700
2018-10-17,95.180000,96.620003,94.900002,96.559998,93.714905,9539400
2018-10-18,96.400002,97.250000,95.739998,96.169998,93.336395,11398400
2018-10-19,96.000000,97.650002,96.000000,97.150002,94.287514,8950700
2018-10-22,97.339996,97.580002,96.739998,97.139999,94.277809,7122900
2018-10-23,96.500000,97.989998,96.110001,97.800003,94.918365,9405800
2018-10-24,97.500000,99.169998,97.279999,97.559998,94.685432,10364700
2018-10-25,98.010002,99.480003,97.000000,99.180000,96.257706,10737100
2018-10-26,98.809998,99.669998,98.019997,98.940002,96.024773,14925600
2018-10-29,99.510002,101.730003,99.089996,99.800003,96.859436,12706100
2018-10-30,100.209999,102.599998,100.059998,102.419998,99.402245,12708500
2018-10-31,102.489998,102.489998,100.120003,100.279999,97.325287,12354900
2018-11-01,99.959999,101.169998,99.720001,100.580002,97.616455,7735100
2018-11-02,100.879997,101.570000,100.309998,101.339996,98.354057,7303200
2018-11-05,101.190002,103.169998,100.629997,102.910004,99.877808,7616800
2018-11-06,102.540001,103.440002,102.050003,103.330002,100.285439,6368700
2018-11-07,103.660004,104.470001,103.050003,104.320000,101.246254,8672600
2018-11-08,104.330002,105.260002,104.029999,104.879997,101.789757,5961400
2018-11-09,105.000000,105.900002,104.809998,105.559998,102.449715,8450400
2018-11-12,105.500000,106.209999,103.650002,103.870003,100.809517,8943100
2018-11-13,103.669998,104.150002,102.540001,102.940002,99.906914,7956700
2018-11-14,103.000000,103.150002,101.010002,101.529999,98.538467,10481900
2018-11-15,102.320000,102.800003,98.620003,99.540001,96.607101,16082600
2018-11-16,98.820000,99.419998,96.919998,97.690002,94.811607,14235200
2018-11-19,97.940002,98.250000,96.430000,96.779999,93.928413,9214400
2018-11-20,94.980003,95.199997,93.599998,94.160004,91.385620,12620600
2018-11-21,94.360001,94.919998,93.309998,94.169998,91.395325,9350900
2018-11-23,94.129997,95.550003,94.129997,95.099998,92.297920,4890000
2018-11-26,95.690002,96.070000,94.739998,95.150002,92.346443,10034600
2018-11-27,94.989998,95.540001,94.410004,95.040001,92.239693,9042300
2018-11-28,95.449997,97.620003,95.050003,97.459999,94.588387,10070800
2018-11-29,97.019997,97.830002,96.739998,97.290001,94.423393,6241300
2018-11-30,97.400002,98.430000,97.070000,97.650002,94.772789,10664000
2018-12-03,98.019997,99.589996,97.669998,98.750000,95.840378,9082100
2018-12-04,98.250000,98.959999,95.610001,95.809998,92.986992,10426300
2018-12-06,94.940002,95.410004,93.099998,94.769997,92.479561,10367200
2018-12-07,94.500000,95.129997,92.449997,93.190002,90.937759,8496500
2018-12-10,93.559998,94.250000,92.339996,93.940002,91.669632,7276900
2018-12-11,94.250000,94.489998,93.250000,93.849998,91.581802,6452500
2018-12-12,94.300003,94.300003,93.059998,93.110001,90.859695,9639200
2018-12-13,93.250000,93.680000,92.430000,92.959999,90.713318,8042300
2018-12-14,92.050003,92.559998,91.570000,91.849998,89.630142,11493600
2018-12-17,91.220001,92.010002,90.160004,90.769997,88.576241,9001800
2018-12-18,90.800003,91.260002,90.279999,91.080002,88.878754,9606700
2018-12-19,91.290001,93.000000,90.250000,90.550003,88.361557,12231500
2018-12-20,90.110001,90.110001,86.139999,87.279999,85.170593,16373800
2018-12-21,86.870003,89.470001,86.800003,87.129997,85.024216,14921500
2018-12-24,86.540001,87.570000,85.779999,85.820000,83.745865,6110300
2018-12-26,86.419998,90.419998,86.300003,90.410004,88.224953,10028300
2018-12-27,89.750000,91.610001,88.440002,91.589996,89.376419,9881500
2018-12-28,92.070000,93.470001,91.650002,92.129997,89.903374,9874000
2018-12-31,92.669998,93.389999,92.250000,93.150002,90.898720,7005800
2019-01-02,91.639999,93.650002,91.639999,93.339996,91.084122,8152700
2019-01-03,93.209999,94.709999,92.699997,92.860001,90.615730,8277300
2019-01-04,93.209999,93.660004,92.690002,93.440002,91.181717,8029100
2019-01-07,93.620003,95.169998,93.180000,94.540001,92.255127,7789700
2019-01-08,95.059998,95.760002,93.910004,95.199997,92.899178,7200900
2019-01-09,95.709999,96.139999,94.769997,94.889999,92.596672,6272300
2019-01-10,93.879997,94.980003,93.120003,94.959999,92.664978,9396300
2019-01-11,94.989998,95.290001,94.550003,94.839996,92.547874,5394600
2019-01-14,94.480003,95.449997,94.279999,94.949997,92.655212,7085100
2019-01-15,95.470001,96.599998,95.379997,96.250000,93.923798,7058200
2019-01-16,95.930000,96.860001,95.830002,96.349998,94.021385,5410000
2019-01-17,96.320000,97.209999,96.160004,96.739998,94.401955,5614500
2019-01-18,96.949997,98.199997,96.849998,97.730003,95.368034,6120600
2019-01-22,97.150002,98.430000,96.779999,97.489998,95.133827,8063200
2019-01-23,98.870003,99.349998,97.529999,98.709999,96.324348,8345800
2019-01-24,98.199997,98.459999,96.430000,98.360001,95.982803,7609700
2019-01-25,98.750000,98.910004,96.750000,96.940002,94.597130,7218200
2019-01-28,96.529999,97.070000,96.080002,97.059998,94.714218,5875800
2019-01-29,96.769997,97.160004,96.510002,96.709999,94.372688,5253400
2019-01-30,96.680000,96.800003,94.260002,94.800003,92.508850,11849300
2019-01-31,94.629997,96.870003,94.629997,95.830002,93.513947,14723000
2019-02-01,95.919998,96.000000,93.110001,93.860001,91.591568,12591900
2019-02-04,93.860001,94.769997,93.349998,94.769997,92.479561,7268600
2019-02-05,95.250000,95.940002,95.019997,95.599998,93.289513,6099900
2019-02-06,95.430000,96.010002,95.220001,95.639999,93.328537,4264900
2019-02-07,95.110001,96.820000,95.000000,96.730003,94.392204,7010100
2019-02-08,96.339996,96.690002,95.139999,95.580002,93.269997,6169200
2019-02-11,95.650002,96.349998,95.639999,96.199997,93.875008,5542800
2019-02-12,96.820000,97.169998,96.500000,96.970001,94.626396,5881300
2019-02-13,97.300003,98.000000,97.089996,97.940002,95.572960,5458500
2019-02-14,97.680000,99.199997,97.019997,98.519997,96.138931,7200800
2019-02-15,98.980003,100.000000,98.860001,99.989998,97.573410,9481000
2019-02-19,102.379997,104.180000,102.070000,102.199997,99.729996,20697300
2019-02-20,101.809998,102.339996,98.650002,99.879997,97.466064,17631800
2019-02-21,99.660004,99.919998,98.910004,99.389999,96.987915,6413200
2019-02-22,99.820000,100.160004,99.139999,99.550003,97.144035,8086900
2019-02-25,100.120003,100.129997,99.050003,99.120003,96.724434,9235000
2019-02-26,99.019997,99.059998,97.870003,98.690002,96.304832,8488100
2019-02-27,98.120003,98.389999,97.589996,98.110001,95.738846,7902300
2019-02-28,98.110001,99.470001,97.769997,98.989998,96.597580,11375900
2019-03-01,99.470001,99.559998,97.120003,97.930000,95.563202,10352500
2019-03-04,98.120003,98.589996,97.370003,97.849998,95.485123,7683800
2019-03-05,98.129997,99.190002,98.089996,98.339996,95.963287,6119300
2019-03-06,98.269997,99.000000,97.860001,98.260002,95.885223,4696600
2019-03-07,97.709999,98.199997,97.239998,97.449997,95.094803,6126600
2019-03-08,97.550003,98.419998,97.000000,97.589996,95.231415,5659000
2019-03-11,98.040001,98.580002,97.820000,98.480003,96.099915,5345300
2019-03-12,98.529999,98.739998,98.050003,98.370003,95.992561,5070500
2019-03-13,98.699997,99.349998,98.389999,99.029999,96.636612,5482300
2019-03-14,98.410004,98.430000,97.589996,98.220001,96.361908,4925800
2019-03-15,98.279999,98.510002,97.599998,98.419998,96.558128,14600000
2019-03-18,98.300003,99.769997,98.260002,99.660004,97.774673,5770100
2019-03-19,99.989998,100.489998,99.570000,99.849998,97.961075,5414400
2019-03-20,99.199997,99.550003,98.540001,98.639999,96.773964,6323100
2019-03-21,98.250000,99.129997,98.099998,99.059998,97.186005,6551000
2019-03-22,98.580002,99.529999,97.940002,98.279999,96.420769,6708100
2019-03-25,97.800003,98.620003,97.629997,98.169998,96.312851,5407400
2019-03-26,98.360001,98.849998,98.029999,98.320000,96.460014,4945900
2019-03-27,98.139999,98.860001,95.000000,97.209999,95.371010,8471200
2019-03-28,97.589996,97.870003,96.529999,97.129997,95.292526,8054300
2019-03-29,97.589996,97.669998,97.040001,97.529999,95.684959,7439900
2019-04-01,97.970001,98.360001,97.559998,97.820000,95.969467,8505800
2019-04-02,97.760002,98.309998,96.900002,96.940002,95.106125,6274000
2019-04-03,97.120003,97.400002,96.790001,97.190002,95.351402,5687500
2019-04-04,97.250000,98.279999,97.239998,98.110001,96.253990,4026300
2019-04-05,98.250000,99.199997,98.160004,98.830002,96.960373,4656000
2019-04-08,98.449997,99.250000,98.260002,99.230003,97.352806,5422400
2019-04-09,98.800003,99.230003,98.150002,98.690002,96.823021,4367500
2019-04-10,98.510002,99.720001,98.500000,99.599998,97.715805,4091100
2019-04-11,99.699997,100.830002,99.470001,100.800003,98.893112,5606900
2019-04-12,101.000000,102.019997,101.000000,101.559998,99.638718,5162000
2019-04-15,101.300003,102.910004,101.260002,102.430000,100.492271,5111900
2019-04-16,102.889999,103.389999,102.540001,102.930000,100.982811,4828400
2019-04-17,103.000000,103.400002,102.410004,103.160004,101.208458,3729200
2019-04-18,103.110001,103.800003,102.889999,103.180000,101.228073,3727800
2019-04-22,102.779999,103.540001,102.169998,102.370003,100.433403,5079400
2019-04-23,102.529999,103.290001,101.940002,103.070000,101.120155,5050800
2019-04-24,103.139999,103.849998,103.089996,103.529999,101.571457,4697800
2019-04-25,103.239998,104.150002,102.830002,103.519997,101.561638,3961100
2019-04-26,100.449997,102.339996,99.660004,101.529999,99.609291,8107700
2019-04-29,101.879997,102.000000,100.779999,101.559998,99.638718,6379700
2019-04-30,101.769997,102.919998,101.449997,102.839996,100.894508,6133600
2019-05-01,102.769997,102.809998,101.279999,101.360001,99.442505,5337200
2019-05-02,101.430000,102.059998,100.239998,101.150002,99.236473,5007000
2019-05-03,102.320000,102.750000,101.800003,102.080002,100.148895,5316900
2019-05-06,100.750000,102.550003,100.540001,102.459999,100.521690,4613700
2019-05-07,101.800003,102.169998,100.760002,101.300003,99.383652,4575600
2019-05-08,100.250000,101.040001,99.860001,100.300003,98.402557,5882000
2019-05-09,99.269997,99.940002,98.849998,99.540001,98.175713,6240100
2019-05-10,99.760002,102.110001,99.699997,101.910004,100.513229,8742700
2019-05-13,100.449997,101.150002,99.010002,99.889999,98.520905,7361500
2019-05-14,100.139999,100.870003,99.889999,100.290001,98.915436,6353700
2019-05-15,100.199997,100.360001,99.129997,99.879997,98.511047,6740300
2019-05-16,102.830002,103.959999,100.839996,101.309998,99.921448,17122000
2019-05-17,100.239998,101.949997,99.910004,100.860001,99.477623,12371300
2019-05-20,100.389999,101.980003,100.250000,101.519997,100.128563,7194100
2019-05-21,101.510002,101.650002,100.400002,101.120003,99.734055,6889100
2019-05-22,101.599998,102.430000,101.059998,102.230003,100.828842,7340900
2019-05-23,101.820000,101.930000,100.650002,101.860001,100.463913,6454600
2019-05-24,102.180000,102.889999,102.080002,102.669998,101.262802,4483200
2019-05-28,102.559998,103.570000,102.400002,102.419998,101.016235,10271700
2019-05-29,102.110001,102.879997,101.470001,102.120003,100.720352,6520200
2019-05-30,102.489998,103.489998,101.910004,102.190002,100.789391,5019600
2019-05-31,101.349998,102.019997,100.599998,101.440002,100.049667,5927500
2019-06-03,101.629997,102.680000,101.400002,101.959999,100.562546,6614700
2019-06-04,102.610001,102.650002,101.440002,102.559998,101.154320,5964900
2019-06-05,102.750000,104.779999,102.599998,104.419998,102.988815,6902900
2019-06-06,104.489998,105.660004,104.199997,105.110001,103.669365,8063700
2019-06-07,105.230003,106.360001,105.050003,106.059998,104.606346,6809400
2019-06-10,106.480003,107.779999,106.370003,107.519997,106.046341,6325700
2019-06-11,108.000000,108.970001,107.750000,107.940002,106.460587,6747300
2019-06-12,107.919998,108.910004,107.919998,108.820000,107.328522,4634500
2019-06-13,109.000000,109.580002,108.169998,108.650002,107.160851,5485000
2019-06-14,108.779999,109.589996,108.459999,109.070000,107.575096,4525900
2019-06-17,109.120003,109.550003,108.260002,109.160004,107.663864,4147000
2019-06-18,109.800003,109.959999,108.910004,109.650002,108.147141,4911200
2019-06-19,109.800003,109.839996,108.870003,109.620003,108.117554,3924600
2019-06-20,109.820000,110.489998,109.279999,110.320000,108.807961,5001500
2019-06-21,110.339996,112.190002,110.260002,111.129997,109.606857,13178600
2019-06-24,111.489998,112.220001,111.029999,111.239998,109.715347,6032800
2019-06-25,110.879997,111.430000,110.400002,110.720001,109.202477,6105000
2019-06-26,110.849998,111.080002,110.099998,110.160004,108.650162,4161700
2019-06-27,110.059998,110.510002,108.860001,110.099998,108.590973,5481300
2019-06-28,110.550003,111.510002,110.239998,110.489998,108.975624,6506700
2019-07-01,111.300003,111.970001,110.019997,110.620003,109.103851,5514700
2019-07-02,110.830002,111.610001,110.339996,111.599998,110.070412,4062900
2019-07-03,111.180000,112.400002,111.000000,112.320000,110.780540,3207300
2019-07-05,112.000000,112.239998,111.209999,111.980003,110.445213,3579400
2019-07-08,111.919998,112.930000,111.699997,112.720001,111.175064,4715700
2019-07-09,112.889999,113.379997,112.599998,112.879997,111.332870,5423400
2019-07-10,113.120003,113.610001,112.389999,112.980003,111.431503,4579000
2019-07-11,113.339996,113.940002,113.019997,113.919998,112.358620,3896600
2019-07-12,114.089996,114.769997,113.620003,114.599998,113.029297,3743300
2019-07-15,114.669998,115.080002,114.449997,114.980003,113.404091,3346000
2019-07-16,115.330002,115.489998,114.040001,114.760002,113.187111,3488200
2019-07-17,114.809998,115.169998,114.199997,114.599998,113.029297,2688500
2019-07-18,114.349998,114.779999,113.739998,114.720001,113.147659,3224800
2019-07-19,115.000000,115.309998,113.860001,113.900002,112.338898,3796300
2019-07-22,114.099998,114.339996,112.320000,112.820000,111.273697,4516900
2019-07-23,113.120003,113.199997,111.570000,112.089996,110.553703,5754200
2019-07-24,112.029999,112.790001,111.570000,112.000000,110.464935,4177300
2019-07-25,112.180000,112.389999,111.660004,112.220001,110.681923,3851500
2019-07-26,112.120003,113.339996,111.820000,113.019997,111.470955,4729000
2019-07-29,112.839996,112.980003,111.760002,112.269997,110.731232,3746600
2019-07-30,112.059998,112.400002,111.669998,112.059998,110.524117,3035200
2019-07-31,111.910004,112.339996,109.629997,110.379997,108.867134,6211300
2019-08-01,110.320000,112.169998,109.320000,109.379997,107.880836,7455000
2019-08-02,109.739998,110.139999,108.150002,109.400002,107.900566,5656700
2019-08-05,108.000000,108.000000,105.589996,105.820000,104.369644,7570000
2019-08-06,106.190002,107.839996,105.589996,107.269997,105.799759,7016400
2019-08-07,107.019997,108.639999,105.919998,108.199997,106.717018,7278500
2019-08-08,108.010002,108.839996,107.769997,108.519997,107.559486,4374400
2019-08-09,108.059998,108.459999,106.709999,107.279999,106.330460,4193500
2019-08-12,106.720001,106.839996,104.839996,105.220001,104.288704,5305000
2019-08-13,105.250000,108.110001,104.849998,107.410004,106.459320,6675300
2019-08-14,105.480003,108.059998,105.139999,106.199997,105.260017,9312800
2019-08-15,112.529999,113.639999,110.160004,112.690002,111.692589,19812900
2019-08-16,114.080002,114.930000,112.059998,112.989998,111.989922,10965200
2019-08-19,114.349998,114.779999,113.599998,113.809998,112.802666,7178100
2019-08-20,113.860001,114.040001,112.010002,112.050003,111.058250,6112300
2019-08-21,113.980003,114.070000,111.879997,112.019997,111.028511,8156400
2019-08-22,112.199997,112.790001,111.349998,111.910004,110.919487,5995400
2019-08-23,111.620003,111.910004,110.129997,110.830002,109.849045,6236700
2019-08-26,111.559998,112.269997,111.220001,111.989998,110.998772,5935700
2019-08-27,112.419998,112.809998,111.510002,112.419998,111.424973,5733700
2019-08-28,112.279999,113.080002,111.680000,112.720001,111.722313,5371000
2019-08-29,114.199997,114.589996,113.309998,114.080002,113.070282,5270500
2019-08-30,115.000000,115.379997,113.900002,114.260002,113.248688,5705300
2019-09-03,113.680000,115.309998,113.489998,114.639999,113.625320,5942700
2019-09-04,115.690002,115.959999,114.820000,115.910004,114.884087,5782900
2019-09-05,117.669998,117.959999,115.269997,115.440002,114.418243,5826400
2019-09-06,115.440002,115.750000,114.620003,114.730003,113.714531,4346400
2019-09-09,114.500000,116.610001,114.400002,116.330002,115.300362,5973700
2019-09-10,115.989998,116.959999,115.480003,116.050003,115.022842,4857400
2019-09-11,116.000000,116.699997,115.220001,116.019997,114.993103,5284100
2019-09-12,116.650002,117.070000,115.900002,116.919998,115.885139,4474300
2019-09-13,117.160004,118.190002,116.949997,117.430000,116.390633,5638600
2019-09-16,116.540001,117.169998,115.379997,115.570000,114.547089,6090300
2019-09-17,115.320000,116.690002,115.250000,116.510002,115.478775,4604500
2019-09-18,116.910004,117.230003,116.180000,117.160004,116.123024,3956000
2019-09-19,117.400002,117.809998,116.769997,117.110001,116.073463,3380600
2019-09-20,117.349998,117.639999,116.800003,116.980003,115.944618,11332400
2019-09-23,116.610001,118.410004,116.559998,117.620003,116.578949,5162500
2019-09-24,118.250000,119.860001,118.010002,118.400002,117.352043,7273100
2019-09-25,118.470001,118.720001,117.809998,118.470001,117.421425,4613600
2019-09-26,118.800003,119.550003,118.190002,118.300003,117.252930,3986900
2019-09-27,119.209999,119.230003,117.750000,118.449997,117.401604,3434700
2019-09-30,118.669998,119.440002,118.559998,118.680000,117.629562,3401400
2019-10-01,118.849998,119.110001,117.720001,117.849998,116.806915,3729300
2019-10-02,117.400002,117.550003,115.610001,116.120003,115.092224,5944500
2019-10-03,115.879997,116.800003,114.580002,116.309998,115.280540,5206500
2019-10-04,116.400002,118.300003,116.190002,118.160004,117.114166,4627000
2019-10-07,118.099998,118.300003,116.879997,117.230003,116.192406,4695000
2019-10-08,116.809998,118.669998,116.660004,117.580002,116.539307,5125100
2019-10-09,118.180000,119.300003,118.019997,118.930000,117.877357,3903400
2019-10-10,118.900002,119.879997,118.599998,119.610001,118.551338,4341500
2019-10-11,119.919998,120.709999,118.720001,120.239998,119.175758,6127900
2019-10-14,119.849998,120.459999,119.099998,119.169998,118.115227,4573300
2019-10-15,119.330002,119.989998,118.870003,119.529999,118.472038,4516700
2019-10-16,119.309998,120.110001,119.099998,119.419998,118.363014,3781600
2019-10-17,119.669998,120.250000,119.360001,119.839996,118.779297,3910900
2019-10-18,120.449997,120.599998,119.129997,119.139999,118.085495,5592300
2019-10-21,119.300003,119.830002,118.820000,119.739998,118.680176,3410100
2019-10-22,119.750000,120.169998,119.389999,119.580002,118.521599,2544700
2019-10-23,119.169998,119.849998,118.690002,119.349998,118.293633,2840000
2019-10-24,119.150002,119.570000,118.510002,119.099998,118.045845,2900300
2019-10-25,119.000000,119.330002,118.199997,119.040001,117.986374,2564100
2019-10-28,119.250000,119.699997,118.529999,119.220001,118.164787,3404300
2019-10-29,118.500000,118.730003,117.080002,117.150002,116.113106,4790100
2019-10-30,117.180000,118.370003,117.050003,118.099998,117.054695,2996000
2019-10-31,117.930000,118.279999,116.830002,117.260002,116.222137,4880600
2019-11-01,117.919998,117.970001,117.230003,117.620003,116.578949,3762600
2019-11-04,118.400002,119.110001,117.169998,117.570000,116.529388,4646000
2019-11-05,117.680000,119.139999,117.080002,118.860001,117.807976,4217100
2019-11-06,118.830002,119.620003,118.709999,119.500000,118.442307,3614400
2019-11-07,120.000000,120.919998,119.540001,120.230003,119.165848,4441400
2019-11-08,120.309998,120.879997,118.940002,119.440002,118.382843,3832700
2019-11-11,118.699997,119.629997,118.279999,119.040001,117.986374,4439000
2019-11-12,119.599998,120.000000,118.809998,119.120003,118.065674,5063100
2019-11-13,119.160004,121.360001,118.660004,120.980003,119.909210,7711800
2019-11-14,124.599998,125.379997,119.510002,120.650002,119.582130,22504200
2019-11-15,120.680000,121.000000,118.379997,118.870003,117.817886,10137700
2019-11-18,118.449997,120.870003,118.239998,120.250000,119.185669,6548000
2019-11-19,120.110001,120.360001,119.709999,119.889999,118.828857,3715400
2019-11-20,120.209999,120.480003,118.400002,119.129997,118.075584,5075900
2019-11-21,118.830002,120.000000,118.669998,119.860001,118.799118,4302400
2019-11-22,120.150002,120.300003,119.269997,119.360001,118.303551,3843100
2019-11-25,120.000000,120.019997,117.900002,118.919998,117.867432,5881500
2019-11-26,118.959999,119.300003,118.449997,119.190002,118.135048,6292500
2019-11-27,119.389999,119.800003,118.730003,118.760002,117.708855,3434100
2019-11-29,119.139999,119.970001,119.000000,119.089996,118.035934,3157300
2019-12-02,119.150002,119.379997,117.839996,119.279999,118.224258,5670900
2019-12-03,118.400002,118.959999,117.769997,118.669998,117.619652,6594800
2019-12-04,119.120003,119.199997,118.300003,118.690002,117.639481,5556600
2019-12-05,118.360001,118.779999,117.419998,118.660004,118.137276,4352800
2019-12-06,119.080002,119.800003,118.919998,119.779999,119.252335,4340800
2019-12-09,119.570000,119.860001,119.180000,119.360001,118.834190,4816000
2019-12-10,119.349998,119.559998,119.019997,119.139999,118.615158,4282300
2019-12-11,119.400002,119.650002,118.529999,119.000000,118.475777,3506400
2019-12-12,119.000000,120.110001,118.680000,119.760002,119.232430,4149000
